N,B,K,lr,end_lr,momentum,lr_schedule,optimizer,step_decay_schedule,C,actual_N,D,type
16000000,818,5918,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000,15877200,619611195.9287533,random_isoflop
32000000,620,4135,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000,29987232,328147339.5076945,random_isoflop
64000000,446,2699,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000,63790848,154063543.6606831,random_isoflop
128000000,338,1878,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000,121123072,81265933.54567492,random_isoflop
256000000,245,1242,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",59000000,252798416,38948537.71552113,random_isoflop
2000000,1056,8246,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,2197440,1114635910.8781128,random_isoflop
4000000,783,5594,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,4369568,560630747.9366381,random_isoflop
8000000,611,4057,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,7723008,317265844.6035534,random_isoflop
16000000,446,2705,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,15877200,154431985.4886252,random_isoflop
32000000,338,1886,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,29987232,81612718.37293953,random_isoflop
64000000,244,1232,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,63790848,38474021.10095794,random_isoflop
128000000,184,860,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,121123072,20254125.12654897,random_isoflop
256000000,134,564,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",14700000,252798416,9678804.949474052,random_isoflop
1000000,848,6201,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000,911712,673132287.3889999,random_isoflop
2000000,578,3772,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000,2197440,279095849.7160332,random_isoflop
4000000,428,2563,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000,4369568,140436736.99551076,random_isoflop
8000000,334,1856,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000,7723008,79356138.95518431,random_isoflop
16000000,244,1237,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000,15877200,38640630.84171013,random_isoflop
32000000,185,862,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000,29987232,20415643.56456775,random_isoflop
64000000,133,565,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",3680000,63790848,9615936.881729493,random_isoflop
250000,865,6368,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,217472,705022071.8069453,random_isoflop
500000,610,4055,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,484096,316607615.01850873,random_isoflop
1000000,463,2838,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,911712,168219858.9028114,random_isoflop
2000000,316,1724,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,2197440,69736420.56210864,random_isoflop
4000000,234,1171,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,4369568,35081560.465473935,random_isoflop
8000000,183,847,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,7723008,19841553.96446566,random_isoflop
16000000,134,565,0.001,0.1,0.0,cosine,adamw,"{""decay_at"": [0.5], ""decay_amt"": [1.0]}",920000,15877200,9688180.787544403,random_isoflop
